"About 250,000 people have been ordered to leave their homes to avoid floods caused by torrential rainfall in south-west Japan, officials say.",Yes
Flooding and landslides on the southern island of Kyushu have left at least 20 people dead in the past three days.,Yes
TV footage showed muddy waters sweeping through homes and streets as rivers burst their banks in the north of the island.,No
The Japan Meteorological Agency has warned of further rain and landslides.,No
"At least seven people were said to be missing on Friday, Japanese media said. ",Yes
Japan's Self-Defence Forces have been brought in to help search for the missing.,No
"More than 75cm (30in) of rain fell in 72 hours in the city of Aso, in Kumamoto prefecture, according to weather officials quoted by the French news agency AFP.",Yes
"The evacuation orders affect 85,000 households in the prefectures of Fukuoka, Saga, Kumamoto and Oita, the Kyodo news agency reported.",Yes
"In Fukuoka prefecture alone, around 190,000 people from 65,000 households were issued the order, with the entire area of the cities of Yanagawa, Yame and Miyama to be evacuated.",Yes
"Another 140,000 have been advised to vacate their homes as well, AFP quoted local officials as saying.",Yes
"Those being asked to leave their homes have been told to go to designated shelters such as schools and other facilities, according to the agency.",No
"Mobile phones are now the most common way for people to connect to the internet in China, a report has said.",No
"For the first time, desktop computers are no longer the leading method for the country's 538 million connected citizens to get online.",Yes
The report from the China Internet Network Information Center (CINIC) said over 50% of the year's new internet users were from rural areas.,Yes
"A fall in smartphone costs has been the key cause of growth, experts said.",No
"""Mobile phones are a cheaper and more convenient way to access the internet for [residents in] China's vast rural areas and for the enormous migrant population,"" said the report from the state-linked CINIC.",No
"Mobile internet users now number 388 million, up almost 10% since the start of the year.",Yes
"""Mobile phone prices continued to drop,"" the report said.",No
"""The emergence of smartphones under 1,000 yuan [$157, £100] sharply lowered the threshold for using the devices and encouraged average mobile phone users to become mobile web surfers.""",Yes
"The total number of those online has risen 5% since the end of last year, many of whom are very active in cyberspace.",Yes
"Bill Dutton, professor of internet studies at the University of Oxford, told the BBC that the trend followed similar growth in other parts of the world.",No
"""We're moving to what we call next-generation users,"" he said.",No
"""They're likely to have three or four devices in their homes, therefore they're able to integrate computing into their lives wherever they are.""",Yes
He added that the rapid adoption of mobile among the rural community was one of necessity over desire.,No
"""There's a wave of people coming online that would not otherwise be able to afford to be there.""",No
"Over half of the connected population in China frequently use microblogging sites like Sina Weibo, a service similar to Twitter which is banned in the country.",No
The popularity of these services has prompted the government to force users to sign up using their real names.,No
Internet use in China has had a rocky history. ,No
"The country has been on the end of sharp criticism from human rights groups for blocking large amounts of content from its citizens - a system which has been dubbed the ""Great Firewall of China"".",No
The report's implications are likely to have been noticed by the country's Communist leaders.,No
"Mobile phones are an ideal platform for the microblogs which have become unofficial forums for information about unrest, scandals or disasters.",No
"While internet access through web-browsers is constrained by the Great Firewall, specially written mobile programmes - or apps - frequently circumvent China's internet controls.",No
"KANSAS CITY, Mo. — The drought that has settled over more than half of the continental United States this summer is the most widespread in more than half a century.",No
And it is likely to grow worse.,No
"The latest outlook released by the National Weather Service on Thursday forecasts increasingly dry conditions over much of the nation’s breadbasket, a development that could lead to higher food prices and shipping costs as well as reduced revenues in areas that count on summer tourism. ",No
About the only relief in sight was tropical activity in the Gulf of Mexico and the Southeast that could bring rain to parts of the South.,No
The unsettling prospects come at a time of growing uncertainty for the country’s economy.,No
"With evidence mounting of a slowdown in the economic recovery, this new blow from the weather is particularly ill-timed.",No
Already some farmers are watching their cash crops burn to the point of no return.,No
"Others have been cutting their corn early to use for feed, a much less profitable venture.",No
"“It really is a crisis. I don’t think we’ve ever seen anything like this in my lifetime,” Gov. Pat Quinn of Illinois said after touring ravaged farms in the southern part of the state.",No
"The government has declared one-third of the nation’s counties — 1,297 of them across 29 states — federal disaster areas as a result of the drought, which will allow farmers to apply for low-interest loans to get them through the disappointing growing season.",Yes
"“It’s got the potential to be the worst drought we’ve ever had in Arkansas,” said Butch Calhoun, the state’s secretary of agriculture.",No
“It’s going to be very detrimental to our economy.”,No
What is particularly striking about this dry spell is its breadth.,No
"Fifty-five percent of the continental United States — from California to Arkansas, Texas to North Dakota — is under moderate to extreme drought, according to the government, the largest such area since December 1956. ",Yes
"An analysis released on Thursday by the United States Drought Monitor showed that 88 percent of corn and 87 percent of soybean crops in the country were in drought-stricken regions, a 10 percent jump from a week before. ",Yes
"Corn and soybean prices reached record highs on Thursday, with corn closing just over $8.07 a bushel and soybeans trading as high as $17.49.",Yes
"As of Sunday, more than half of the corn in seven states was in poor or very poor condition, according to the Department of Agriculture.",Yes
"In Kentucky, Missouri and Indiana, that figure is above 70 percent.",Yes
"Over all, only 31 percent of the nation’s corn is in good to excellent condition, compared with 66 percent at the same time last year.",Yes
"“We’re expecting significant reductions in production potential yield, potential for corn and soybeans in particular,” said Brad Rippey, a meteorologist with the Department of Agriculture.",No
"The withering corn has increased feed prices and depleted available feeding land, putting stress on cattle farmers. ",No
"A record 54 percent of pasture and rangeland — where cattle feed or where hay is harvested for feeding — was in poor or very poor condition, according to the Department of Agriculture.",Yes
Many farmers have been forced to sell their animals.,No
"Because feed can account for nearly half of a cattle farmer’s costs, consumers could see a rise in the price of meat and dairy products, experts said. ",Yes
" The high sustained heat has led the key components in milk, like fat and protein, to plummet more than usual, said Chris Galen, a spokesman for National Milk Producers Federation.",No
"“This is due to cows eating less dry matter, and drinking more water ... which tends to thin out the resulting milk output,” he said in an e-mail.",No
"“So, if you’re a cheese maker, you need to use a little more milk to get the same volume of cheese output.”",No
"Still, this year’s drought is not expected to be as rough on Midwestern agriculture as the one in 1988.",Yes
"Corn yields were 22 percent under trend that year, and this year the Department of Agriculture is projecting yields 11 percent under trend — “though that could change in August,” said Joseph W. Glauber, the department’s chief economist.",Yes
What claims to be (and indeed appears to be) the first formal attempt to calculate numbers of cancer cases and deaths resulting from the Fukushima nuclear accident has just been published.,Yes
"The Energy and Environmental Science journal paper calculates that total deaths will lie in the range 15-1,300, while cases will number 24-2,500.",Yes
"These are deaths among the public, not among workers at the plant.",No
The calculations were done by Prof Mark Jacobson and Dr John Ten Hoeve from Stanford University in California.,No
"One point they raise in the paper is that while these ranges may be big, even the minima are numbers above zero.",Yes
This contradicts statements made since March 2010 that the world's worst nuclear accident after Chernobyl would be likely not to produce a single radiation-linked fatality among the public.,Yes
(They also predict a small number of cancers - between two and 12 - among workers at Fukushima Daiichi.),Yes
And the academics say the death and case numbers are lower than they might have been because of luck.,Yes
Only one-fifth of the radioactive material vented into the air from the stricken power station fell on land; more fallout on land would have meant a higher casualty list.,Yes
"As intuition would suggest, the vast majority of the cancer cases would arise in Japan itself.",Yes
"The estimate hasn't yet made any major headlines around the world; and in part, that's presumably because of the uncertainty ranges.",No
This kind of exercise is fiendishly difficult to do precisely.,No
"The results depend heavily on what you put into your models, and two kinds of model are needed here - one of how radioactive material dispersed, the second relating exposure to that radioactive material with the subsequent risk of disease.",Yes
Possibly the biggest uncertainty in all this concerns whether there's any added risk of cancer from exposure to low doses of radioactivity.,No
"Theories that are in circulation encompass the idea that there is a risk but it decreases linearly with declining exposure; that there's no extra risk; and that low doses of radioactivity are actually beneficial, a notion known as hormesis.",No
The Stanford academics used the first of those ideas - what's called a Linear No-Threshold (LNT) model.,Yes
"One question I raised with Prof Jacobson was whether, using their methodology, you could say what the rates would have been if there were a threshold - if low doses had no effect.",Yes
"Currently that's not possible, he said, though the figures probably could be derived, given time.",No
Perhaps the study's most important point materialises when you hold the numbers up to the light of context.,Yes
"The paper mentions that evacuating people from the power station's environs resulted in as many as 600 deaths - principally the elderly and seriously ill, for whom evacuation was too arduous.",Yes
But more context is given by cancer statistics.,No
"The figures given in Prof Jacobson's paper are for lifetime risk - that is, the number of people who will die of cancer at some point.",Yes
"If you try to make the effect as strong as you can, by assuming that all those deaths will occur in a 10-year period - which is almost certainly too tight - and take the highest end of the range, Fukushima would add 130 deaths per year.",Yes
"By contrast, more than 350,000 Japanese die of cancer each year, according to the Japan Cancer Society.",Yes
The disease will cause the death of about one-third of the population.,Yes
"Fukushima fallout, then, would be adding less than 0.1% to the total cancer mortality.",Yes
"If the real numbers are at the low end of the Stanford range, it'll add less than 0.001%",Yes
The nuclear accident has proven a very big deal for Japan and for nuclear power around the world.,No
"Several reasons for that are all too real. Does the added cancer risk amount to another one, from these numbers, or not?",Yes
"Last year, during his best three-month stretch, Jordan Golson sold about $750,000 worth of computers and gadgets at the Apple Store in Salem, N.H. ",Yes
It was a performance that might have called for a bottle of Champagne — if that were a luxury Mr. Golson could have afforded.,No
"“I was earning $11.25 an hour,” he said.",Yes
"“Part of me was thinking, ‘This is great. I’m an Apple fan, the store is doing really well.’ ",No
"But when you look at the amount of money the company is making and then you look at your paycheck, it’s kind of tough.”",No
America’s love affair with the smartphone has helped create tens of thousands of jobs at places like Best Buy and Verizon Wireless and will this year pump billions into the economy.,Yes
"Within this world, the Apple Store is the undisputed king, a retail phenomenon renowned for impeccable design, deft service and spectacular revenues.",No
"Last year, the company’s 327 global stores took in more money per square foot than any other United States retailer — wireless or otherwise — and almost double that of Tiffany, which was No. 2 on the list, according to the research firm RetailSails.",Yes
"Worldwide, its stores sold $16 billion in merchandise.",Yes
But most of Apple’s employees enjoyed little of that wealth. ,No
"While consumers tend to think of Apple’s headquarters in Cupertino, Calif., as the company’s heart and soul, a majority of its workers in the United States are not engineers or executives with hefty salaries and bonuses but rather hourly wage earners selling iPhones and MacBook",No
"About 30,000 of the 43,000 Apple employees in this country work in Apple Stores, as members of the service economy, and many of them earn about $25,000 a year. ",Yes
"They work inside the world’s fastest growing industry, for the most valuable company, run by one of the country’s most richly compensated chief executives, Tim Cook.",No
"Last year, he received stock grants, which vest over a 10-year period, that at today’s share price would be worth more than $570 million.",Yes
"And though Apple is unparalleled as a retailer, when it comes to its lowliest workers, the company is a reflection of the technology industry as a whole.",No
"The Internet and advances in computing have created untold millionaires, but most of the jobs created by technology giants are service sector positions — sales employees and customer service representatives, repairmen and delivery drivers — that offer little of Silicon Valley’s riches or glamour.",Yes
"Much of the debate about American unemployment has focused on why companies have moved factories overseas, but only 8 percent of the American work force is in manufacturing, according to the Bureau of Labor Statistics.",Yes
" Job growth has for decades been led by service-related work, and any recovery with real legs, labor experts say, will be powered and sustained by this segment of the economy.",No
"And as the service sector has grown, the definition of a career has been reframed for millions of American workers.",Yes
"“In the service sector, companies provide a little bit of training and hope their employees leave after a few years,” says Arne L. Kalleberg, a professor of sociology at the University of North Carolina. ",No
" “Especially now, given the number of college kids willing to work for low wages.”",No
"By the standards of retailing, Apple offers above average pay — well above the minimum wage of $7.25 and better than the Gap, though slightly less than Lululemon, the yoga and athletic apparel chain, where sales staff earn about $12 an hour. ",Yes
" The company also offers very good benefits for a retailer, including health care, 401(k) contributions and the chance to buy company stock, as well as Apple products, at a discount.",Yes
But Apple is not selling polo shirts or yoga pants. ,No
"Divide revenue by total number of employees and you find that last year, each Apple store employee — that includes non-sales staff like technicians and people stocking shelves — brought in $473,000.",Yes
"“These are sales rates for a consulting company,” said Horace Dediu, an analyst who blogged about the calculation on the site Asymco. ",No
"Electronics and appliance stores typically post $206,000 in revenue per employee, according to the latest figures from the National Retail Federation.",Yes
"Even Apple, it seems, has recently decided it needs to pay its workers more. ",No
"Last week, four months after The New York Times first began inquiring about the wages of its store employees, the company started to inform some staff members that they would receive substantial raises. ",Yes
"An Apple spokesman confirmed the raises but would not discuss their size, timing or impetus, nor who would earn them.",No
"But Cory Moll, a salesman in the San Francisco flagship store and a vocal labor activist, said that on Tuesday he was given a raise of $2.82 an hour, to $17.31, an increase of 19.5 percent and a big jump compared with the 49-cent raise he was given last year.",Yes
